Total words original: 92
Total words after filter: 81
Word Frequencies:
people: 9
rain: 6
sky: 6
well-known: 4
bread: 3
fruit: 3
bro: 2
can't: 2
city: 2
coffee: 2
create: 2
low-cost: 2
open-source: 2
part-time: 2
up-to-date: 2
won't: 2
11a?21: 1
275.21.13: 1
come!on: 1
don't: 1
fast: 1
fire: 1
for: 1
forest: 1
happy: 1
hard: 1
high-quality: 1
it's: 1
lion: 1
long-term: 1
mountain: 1
nature: 1
ocean: 1
place: 1
read: 1
real-time: 1
river: 1
self-made: 1
she's: 1
simple: 1
star: 1
stone: 1
that: 1
tiger: 1
window: 1
with: 1
