Total words original: 88
Total words after filter: 73
Word Frequencies:
fire: 6
forest: 4
he's: 3
low-cost: 3
river: 3
up-to-date: 3
00.11.12.14: 2
come!on: 2
don't: 2
fish: 2
jump: 2
moon: 2
ocean: 2
part-time: 2
she's: 2
short-term: 2
sugar: 2
21-21: 1
275.21.13: 1
bright: 1
but: 1
code: 1
data: 1
dog: 1
file: 1
fruit: 1
hard: 1
high-quality: 1
horse: 1
it's: 1
learn: 1
long-term: 1
mountain: 1
no.way: 1
page: 1
people: 1
read: 1
real-time: 1
rice: 1
sun: 1
this: 1
time: 1
well-known: 1
wind: 1
window: 1
world: 1
